,標題,url,星數,日期,評論標題,評論內文
0,顧客分類大師：Python x RFM 會員經營新觀點,https://hahow.in/courses/5e7883d29c4b140023a79c51,5 Stars,2020.08.03,python與RFM的快速媒合課程,"上完後就可以理解在python中使用RFM的邏輯
老師在課程裡已寫好基礎的四大面向RFM視覺化語法
所以上到一半或是上完就可以立即性的將自己的資料導出RFM各面向的分析圖
而每個語法都有加註解釋與可變化型態
所以要針對自己資料的客製性和進行更複雜的分析也會有所幫助
對想將RFM用python處理卻對python掌握不高，甚至不瞭解RFM的人都非常適合上這堂課"
1,顧客分類大師：Python x RFM 會員經營新觀點,https://hahow.in/courses/5e7883d29c4b140023a79c51,5 Stars,2020.09.21,實用的超值課程,"教學細心清晰，循序漸進~~ 
活化大腦，提升思考，很有收穫！"
2,顧客分類大師：Python x RFM 會員經營新觀點,https://hahow.in/courses/5e7883d29c4b140023a79c51,5 Stars,2020.09.17,課程實用易理解,之前就有訂閱meduim整體覺得內容還行算是實用也易理解
3,打造動態報表！雲端 Python 爬蟲資料流,https://hahow.in/courses/5e64bb261c966500239069f9,5 Stars,2020.10.08,感覺挺好的,"1. 每個步驟都講得挺清楚的，過程中不需要自己debug。看完課程後，的確有能力操作自己的資料。
2. 無論python的資料流、資料視覺呈現、爬蟲技巧、GCP的操作技巧都有收穫，如果還有出進階課程會考慮購買。
3. 講師語速稍慢，我調成1.5倍速比較剛好。"
4,打造動態報表！雲端 Python 爬蟲資料流,https://hahow.in/courses/5e64bb261c966500239069f9,5 Stars,2020.10.26,推薦,"學了Python一段時間了
一直想用爬蟲及報表自動化
發現老師開了這堂動態報表非常吸引我
果不其然非常實用
發現了Google Data Studio及GCP的應用
很推薦想要報表自動化的同學們"
5,打造動態報表！雲端 Python 爬蟲資料流,https://hahow.in/courses/5e64bb261c966500239069f9,5 Stars,2020.10.09,十分推薦的課程,之前在網路上學習了很多python爬蟲程式，但是一直不知道如何去應用，每次爬到的資料都得自己手動更新，透過此課程了解到了GCP的好用之處，未來也有機會在實際面應用。
6,Python 資料分析 - 網頁爬蟲與視覺呈現,https://hahow.in/courses/5d9c405e6f4b130023e9999d,5 Stars,2020.10.11,值得首選,"首次上Pyhotn網頁擷取與資料,內容就會一頭霧水就很像走進了小森林一樣,腦袋會很混亂、心裡會覺得荒唐心神不寧、手忙腳亂。
師長準備的講義、影音很用心很充實，上課內容講得十分清楚很、簡單明瞭，讓我可以輕鬆讀去上課的內容、lab做得很完善只是有的網頁已經更新了，執行時會有狹隘，有問題在""問題討論""舉手發問，師長很耐心的回覆、不回感覺到無奈。部分的課堂數會有作業。作業可以當作是考試，完成後上傳繳在""作業成果""內不久之後師長會評分或檢視，然後皆可當作個人的作品。
最後讓我能一回升二回熟、知道考試的情境模式、順利能夠快速取得證照。
"
7,Python 資料分析 - 網頁爬蟲與視覺呈現,https://hahow.in/courses/5d9c405e6f4b130023e9999d,5 Stars,2020.04.21,有老師的講解，真的很快上手,"老師課程說明十分清楚，課後討論的問題也很快就有答覆
作業批改也是在上傳後隔天就會檢查。
非常感謝老師提供此課程，使準備考取証照的時間縮短許多"
8,Python 資料分析 - 網頁爬蟲與視覺呈現,https://hahow.in/courses/5d9c405e6f4b130023e9999d,5 Stars,2020.05.02,適合新手學習的課程,老師講解很詳盡，讓人容易理解語法如何運用；本身自己也有求知慾，所以除了看老師教學外，也會另外查找相關知識，以期能融會貫通。
9,自學程式如何快速入門 - 以 Python/JS 為例,https://hahow.in/courses/5d77176845639e00212bc562,5 Stars,2020.04.28,這麼好的給新手的自學課，一定要上一下的！,"自己本身是在資料科學領域，所以有接觸到可以算得上是程式語言的，只有SAS和R的統計軟體。對於python、JS可以說是完全的新手，但勉強有一點點的程式語言邏輯，基於這樣的背景知識，給予這一門課的評價，合先敘明。
  
就一個新手的角度來說，常常會有很多誤解，包含是不是應該要買書來看？是不是應該要把所有的程式碼都背起來才是學會程式？
甚至到非常技術層面的，選用甚麼樣子的編譯軟體、怎麼選擇程式語言、如何點技能數等等很多問題，而這些書上或是自己學程式的時候可能都會遇到，也會在錯誤的認知下走很多冤枉路，結果繞了一大圈發現自己怎麼還是這麼爛XD
  
而這一堂課不同於以往的程式設計的學習課程，Kai老師會先花一些時間，針對上面的問題做一個答覆，讓想要入門的新手都能夠清楚明白自己的方向，甚至除了這一門課所教授的Python和JS，也能根據前面講的觀念，去選擇自己未來想要點開的技能樹。當然老師非常強調程式學習的脈絡，整門課上完以後就算想要學習其他的語言都能比照一樣的邏輯脈絡往下學習，而且都會輕鬆非常多，也相當有成就感。可以說不只是單純的得到一些魚，還得到了釣魚的方法。
  
雖然是python跟JS，但因為主要的重點是放在介紹程式學習的脈絡與方法，並非專精於單一程式語言的能力強化，所以相較之下在內容跟深度上，如果是對於python跟JS有一定理解，想繼續強化深造的相對來講比較不適合這一門課程。不過，對於已經走了一陣子的冤枉路，想要看看自己的問題出現在哪裡找到突破點的，或是接下來找不到進修方向的人，那這一門課絕對可以給予好的解答。
  
在課程的設計上，因為老師相當重視實作課程，所以會對應安排練習一些程式的作業，也有一些課堂的練習，都是相對來說小小的專案，但是會相當有成就感，至少不會讓新手有一種「我怎麼花了一整天甚麼都寫不出來...」的挫敗感，就算真的卡關非常久，老師也會耐心回答問題，並且有參考答案，就會讓人安心許多。而對於相對來說比較艱澀的術語，也是用一些相當有趣的說法來帶過XD(至於是哪些，就請看課程內容啦XD)，不會讓人聽一聽就想睡或是覺得難以理解。
  
感受得出來老師是一個非常勤於學習的人，而這一點從Kai老師再三強調，要常常練習找網路上的資料、不要畏懼報錯、多輸出多練習等都可以看出一點端倪，其實不只是對於程式學習，在很多事情上面老師的學習態度也是一個非常好的參考指標。
  
唯一美中不足的可能是，蘋果有好幾堂課都打成頻果XD，看得有點煩躁XDDDDD好想幫他改錯字啊可惡(握拳"
10,自學程式如何快速入門 - 以 Python/JS 為例,https://hahow.in/courses/5d77176845639e00212bc562,5 Stars,2020.03.21,kai老師辛苦了，淺顯易懂，收穫良多,"
這堂課讓我學會了搜尋的關鍵字怎麼下，對於程式常常都是跟著照打而不了解原理，而這堂課老師有拆解，ifelse基本迴圈那些語法會應用，以及實際去搜尋，學習上很有成就感。

跟著kai老師一個步驟一個步驟做，能清楚的了解每一個語法與套件的應用，對Js更熟悉還有python基本觀念，也終於了解機器學習到底是在做什麼的。

第三章的實戰專用做完更是讓我對實作程式有很大的成就感，從完全不會Python跟機器學習到成功製作出專案更是有很大的樂趣，這邊謝謝kai老師有問題會常常及時幫我們解決：）"
11,自學程式如何快速入門 - 以 Python/JS 為例,https://hahow.in/courses/5d77176845639e00212bc562,5 Stars,2020.04.01,接觸自學者的觀點,"謝謝Kai老師帶給我比一般課程來得不一樣的體驗，完完全全用自學者的角度來看待Coding這件事。
這趟課對於我自學寫程式的觀念，大大的改變。

此堂課沒有很深入的技術研討，滿滿的都是實戰上所需要用到的技能與觀念，
還有對於自學者的未來方向有著大概的藍圖，這也是自學者的我最需要的資源與概念!!

整堂課學習下來，有點像是練基本功、自學核心的思考邏輯，然後打底過後、不斷向上盤整，
接著就是帶量突破、成為多頭走勢!!

總之，謝謝囉~~"
12,AI 行銷學：用 Python 機器學習創造商業新價值,https://hahow.in/courses/5d428e522fb50200206226e9,5 Stars,2020.01.08,非常推薦,"我有微軟人工智慧的證照
課程使用Spyder軟體對於資料分析的視覺化與效能有很好的幫助
老師以利潤作為目標去分析資料相當符合現實狀況
並以行銷的觀點解釋資料可幫助非商背景的資訊人員從不同角度去思考
非常棒"
13,AI 行銷學：用 Python 機器學習創造商業新價值,https://hahow.in/courses/5d428e522fb50200206226e9,5 Stars,2020.05.04,是一門良好機器學習基礎練工的入門題材,"整體的說明均十分順暢，即使未具備python撰寫之能力
老師亦簡單說明相關重要之python基本技巧
但是，仍要再自行去吸收其他不懂之套件內容，才能融會貫通本課程。"
14,AI 行銷學：用 Python 機器學習創造商業新價值,https://hahow.in/courses/5d428e522fb50200206226e9,4 Stars,2020.03.01,著重業界角度看資料行銷,"在業界有時會面臨到 數據人員,行銷團隊,與管理階層 對於專案理解與切入角度不同，不了解對方團隊在處理些甚麼。而這堂課很適合 高階中階或是一般數據行銷人，難度不難，卻能夠廣泛了解 用數據 做行銷的概念為何。

比較可惜就是在於，因為難度不難，重在廣度，在 code 上講解稍淺；若想要把整堂課的概念運用到自己的case上，需要自己再花時間鑽研 老師所附上的 程式碼以及 function。但，整堂課給予 想做 數據行銷的人 完整的商業思維，用商業角度切入玩數據，而不是只是追求 誤差最小化。"
15,用 Python 打造自己的股票小秘書,https://hahow.in/courses/5c08e2eac9f99c002431a8bc,5 Stars,2019.08.03,非常值得推薦的課程,無論是課程內容的嚴謹程度、由淺入深的課程步調、完整程式碼的說明與最後實戰資料的完整性，這課程是我買的各種Python理財課程中，最適合入門，卻也最能達到實戰功能的，我是個牙醫師，也可以在僅僅三四天就把課程內容架構出來，這當然不是我厲害，而是講師在課程安排與教學流程的細膩規劃下，才讓我有機會學習起來，很謝謝講師的努力與用心，真的很值得推薦，如果有實作課程，也會很願意再次聆聽，謝謝老師。
16,用 Python 打造自己的股票小秘書,https://hahow.in/courses/5c08e2eac9f99c002431a8bc,5 Stars,2019.06.07,推~值得投資的課程,"1.系統可讓我不斷的回來複習，最棒的是同學互相提出問題討論，老師也能適時的回覆或提醒。
2.程式的解法很多種，老師在作業上也能提供有經驗且較佳的程式方向，針對較無經驗的人真的是畫龍點睛。
3.能有一個小規模的專案練習python，特別有感覺，常有人問學python可做甚麼?如沒能有一個目標去完成，還真回答不出來。"
17,用 Python 打造自己的股票小秘書,https://hahow.in/courses/5c08e2eac9f99c002431a8bc,5 Stars,2019.06.08,讓初學者無痛進入工程世界,"謝謝老師非常有經驗的教導初學者,可以無痛進入工程世界，尤其是非相關資訊背景但有上了年紀的初學者,也證明了教學的技巧是可以跨越年紀,讓年長者也有信心可以在無基礎之下進入未來工程世界"
